STATION,STATION_NAME,DATE,TMAX,TMIN
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20060603,69,60
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20060604,74,60
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20060610,65,57
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20060611,63,52
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20060612,64,52
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20060613,68,58
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20060614,71,62
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20060615,78,64
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20060616,91,76
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20060617,92,76
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20060618,79,71
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20060619,88,72
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20060620,76,67
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20060621,89,75
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20060622,81,66
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20060623,67,63
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20060624,74,62
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20060625,71,64
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20060626,69,63
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20060627,76,66
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20060628,78,63
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20060629,75,62
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20060630,80,65
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20060701,92,71
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20060702,87,78
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20060703,82,70
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20060704,78,68
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20060705,75,66
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20060706,76,66
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20060707,80,66
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20060708,85,70
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20060709,89,73
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20060710,74,66
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20060711,77,68
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20060712,76,68
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20060713,80,69
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20060714,84,72
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20060715,92,77
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20060716,94,79
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20060717,95,76
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20060718,80,73
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20060719,85,73
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20060720,81,72
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20060721,78,69
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20060722,79,69
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20060723,80,68
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20060724,89,73
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20060725,92,77
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20060726,87,73
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20060727,84,73
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20060728,88,74
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20060729,93,78
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20060730,90,76
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20060731,98,81
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20060801,99,83
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20060802,96,71
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20060803,79,68
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20060804,84,71
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20060805,84,71
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20060806,85,73
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20060807,82,74
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20060808,76,71
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20060809,82,71
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20060810,80,75
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20060811,75,68
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20060812,76,66
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20060813,81,66
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20060814,85,72
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20060815,79,67
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20060816,81,67
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20060817,82,69
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20060818,82,72
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20060819,82,71
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20060820,76,67
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20060821,80,65
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20060822,85,69
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20060823,88,70
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20060824,85,69
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20060825,84,70
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20060826,80,74
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20060827,77,72
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20060828,72,65
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20060829,69,66
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20060830,74,67
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20060831,74,64
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20060901,73,66
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20060902,74,66
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20060903,77,63
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20060904,70,63
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20060905,75,63
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20060906,76,64
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20060907,85,66
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20060908,84,66
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20060909,73,65
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20060910,65,62
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20060911,68,62
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20060912,73,65
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20060913,67,63
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20060914,72,63
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20060915,76,63
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20060916,80,63
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20060917,85,65
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20060918,72,55
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20060919,56,51
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20060920,64,48
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20060921,69,51
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20060922,71,58
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,20060923,73,60
