STATION,DATE,TMAX,TMIN
GHCND:USC00128784,19750122,35,22
GHCND:USC00128784,19750123,35,25
GHCND:USC00128784,19750124,36,22
GHCND:USC00128784,19750125,42,30
GHCND:USC00128784,19750126,38,24
GHCND:USC00128784,19750127,26,17
GHCND:USC00128784,19750128,33,21
GHCND:USC00128784,19750129,58,32
GHCND:USC00128784,19750130,60,26
GHCND:USC00128784,19750131,32,26
GHCND:USC00128784,19750204,34,28
GHCND:USC00128784,19750205,33,30
GHCND:USC00128784,19750206,37,28
GHCND:USC00128784,19750207,28,8
GHCND:USC00128784,19750208,24,8
GHCND:USC00128784,19750209,26,3
GHCND:USC00128784,19750210,6,-18
GHCND:USC00128784,19750211,28,-12
GHCND:USC00128784,19750212,35,24
GHCND:USC00128784,19750213,29,16
GHCND:USC00128784,19750214,24,12
GHCND:USC00128784,19750215,32,16
GHCND:USC00128784,19750216,38,32
GHCND:USC00128784,19750217,34,32
GHCND:USC00128784,19750218,42,31
GHCND:USC00128784,19750219,34,30
GHCND:USC00128784,19750220,30,24
GHCND:USC00128784,19750221,42,24
GHCND:USC00128784,19750222,50,28
GHCND:USC00128784,19750223,50,39
GHCND:USC00128784,19750224,47,38
GHCND:USC00128784,19750225,38,27
GHCND:USC00128784,19750226,38,28
GHCND:USC00128784,19750227,37,24
GHCND:USC00128784,19750228,35,22
GHCND:USC00128784,19750301,36,20
GHCND:USC00128784,19750302,26,16
GHCND:USC00128784,19750303,28,15
GHCND:USC00128784,19750304,31,16
GHCND:USC00128784,19750305,37,21
GHCND:USC00128784,19750306,44,21
GHCND:USC00128784,19750307,48,36
GHCND:USC00128784,19750308,48,28
GHCND:USC00128784,19750309,29,13
GHCND:USC00128784,19750310,33,13
GHCND:USC00128784,19750311,32,27
GHCND:USC00128784,19750312,40,28
GHCND:USC00128784,19750313,43,24
GHCND:USC00128784,19750314,33,24
GHCND:USC00128784,19750315,28,9
GHCND:USC00128784,19750316,38,9
GHCND:USC00128784,19750317,42,30
GHCND:USC00128784,19750318,55,35
GHCND:USC00128784,19750319,58,42
GHCND:USC00128784,19750320,62,35
GHCND:USC00128784,19750321,61,37
GHCND:USC00128784,19750322,70,43
GHCND:USC00128784,19750323,58,32
GHCND:USC00128784,19750324,62,34
GHCND:USC00128784,19750325,51,26
GHCND:USC00128784,19750326,29,23
GHCND:USC00128784,19750327,36,23
GHCND:USC00128784,19750328,32,25
GHCND:USC00128784,19750329,42,32
GHCND:USC00128784,19750330,36,24
GHCND:USC00128784,19750331,30,24
GHCND:USC00128784,19750401,55,36
GHCND:USC00128784,19750402,56,35
GHCND:USC00128784,19750403,64,23
GHCND:USC00128784,19750404,36,23
GHCND:USC00128784,19750405,41,22
GHCND:USC00128784,19750406,44,24
GHCND:USC00128784,19750407,48,23
GHCND:USC00128784,19750408,51,23
GHCND:USC00128784,19750409,52,29
GHCND:USC00128784,19750410,51,28
GHCND:USC00128784,19750411,54,29
GHCND:USC00128784,19750412,48,20
GHCND:USC00128784,19750413,51,20
GHCND:USC00128784,19750414,54,32
GHCND:USC00128784,19750415,48,31
GHCND:USC00128784,19750416,52,31
GHCND:USC00128784,19750417,60,36
GHCND:USC00128784,19750418,74,46
GHCND:USC00128784,19750419,72,42
GHCND:USC00128784,19750420,53,40
GHCND:USC00128784,19750421,49,30
GHCND:USC00128784,19750422,54,30
GHCND:USC00128784,19750423,72,47
GHCND:USC00128784,19750424,62,53
GHCND:USC00128784,19750425,66,50
GHCND:USC00128784,19750426,50,40
GHCND:USC00128784,19750427,59,40
GHCND:USC00128784,19750428,49,41
GHCND:USC00128784,19750429,60,41
GHCND:USC00128784,19750430,75,42
GHCND:USC00128784,19750501,65,50
GHCND:USC00128784,19750502,60,40
GHCND:USC00128784,19750503,67,42
GHCND:USC00128784,19750504,61,47
GHCND:USC00128784,19750505,63,44
GHCND:USC00128784,19750506,76,48
GHCND:USC00128784,19750507,71,48
GHCND:USC00128784,19750508,68,48
GHCND:USC00128784,19750509,70,46
GHCND:USC00128784,19750510,76,46
GHCND:USC00128784,19750511,77,46
GHCND:USC00128784,19750512,78,49
GHCND:USC00128784,19750513,65,42
GHCND:USC00128784,19750514,71,42
GHCND:USC00128784,19750515,74,48
GHCND:USC00128784,19750516,73,43
GHCND:USC00128784,19750517,73,43
GHCND:USC00128784,19750518,78,46
GHCND:USC00128784,19750519,86,56
GHCND:USC00128784,19750520,88,57
GHCND:USC00128784,19750521,93,68
