STATION,DATE,TMAX,TMIN
GHCND:USC00143074,19800801,106,79
GHCND:USC00143074,19800802,106,77
GHCND:USC00143074,19800803,103,75
GHCND:USC00143074,19800804,94,71
GHCND:USC00143074,19800805,94,72
GHCND:USC00143074,19800806,96,70
GHCND:USC00143074,19800807,99,75
GHCND:USC00143074,19800808,100,74
GHCND:USC00143074,19800809,99,76
GHCND:USC00143074,19800810,101,75
GHCND:USC00143074,19800811,101,74
GHCND:USC00143074,19800812,99,70
GHCND:USC00143074,19800813,102,75
GHCND:USC00143074,19800814,97,69
GHCND:USC00143074,19800815,94,71
GHCND:USC00143074,19800816,94,73
GHCND:USC00143074,19800817,94,69
GHCND:USC00143074,19800818,89,69
GHCND:USC00143074,19800819,93,72
GHCND:USC00143074,19800820,96,75
GHCND:USC00143074,19800821,96,68
GHCND:USC00143074,19800822,93,70
GHCND:USC00143074,19800823,93,72
GHCND:USC00143074,19800824,94,69
GHCND:USC00143074,19800825,96,64
GHCND:USC00143074,19800826,96,71
GHCND:USC00143074,19800827,99,71
GHCND:USC00143074,19800828,99,70
GHCND:USC00143074,19800829,93,67
GHCND:USC00143074,19800830,93,69
GHCND:USC00143074,19800831,90,72
GHCND:USC00143074,19800901,92,69
GHCND:USC00143074,19800902,92,71
GHCND:USC00143074,19800903,89,73
GHCND:USC00143074,19800904,91,72
GHCND:USC00143074,19800905,93,71
GHCND:USC00143074,19800906,98,75
GHCND:USC00143074,19800907,99,72
GHCND:USC00143074,19800908,99,71
GHCND:USC00143074,19800909,98,65
GHCND:USC00143074,19800910,84,60
GHCND:USC00143074,19800911,91,69
GHCND:USC00143074,19800912,94,70
GHCND:USC00143074,19800913,94,71
GHCND:USC00143074,19800914,93,65
GHCND:USC00143074,19800915,98,59
GHCND:USC00143074,19800916,96,70
GHCND:USC00143074,19800917,94,46
GHCND:USC00143074,19800918,84,54
GHCND:USC00143074,19800919,89,67
GHCND:USC00143074,19800920,93,73
GHCND:USC00143074,19800921,92,74
GHCND:USC00143074,19800922,92,72
GHCND:USC00143074,19800923,77,59
GHCND:USC00143074,19800924,79,62
GHCND:USC00143074,19800925,80,51
GHCND:USC00143074,19800926,80,50
GHCND:USC00143074,19800927,65,49
GHCND:USC00143074,19800928,63,50
GHCND:USC00143074,19800929,69,52
GHCND:USC00143074,19800930,76,61
GHCND:USC00143074,19801001,86,58
GHCND:USC00143074,19801002,86,50
GHCND:USC00143074,19801003,82,40
GHCND:USC00143074,19801004,71,50
GHCND:USC00143074,19801005,76,44
GHCND:USC00143074,19801006,78,51
GHCND:USC00143074,19801007,83,54
GHCND:USC00143074,19801008,91,58
GHCND:USC00143074,19801009,92,-9999
GHCND:USC00143074,19801010,91,59
GHCND:USC00143074,19801011,78,-9999
GHCND:USC00143074,19801012,78,-9999
GHCND:USC00143074,19801013,82,47
GHCND:USC00143074,19801014,82,-9999
GHCND:USC00143074,19801015,81,62
GHCND:USC00143074,19801016,74,48
GHCND:USC00143074,19801017,76,48
GHCND:USC00143074,19801018,79,44
GHCND:USC00143074,19801019,77,39
GHCND:USC00143074,19801020,77,37
GHCND:USC00143074,19801021,79,47
GHCND:USC00143074,19801022,79,51
GHCND:USC00143074,19801023,74,52
GHCND:USC00143074,19801024,75,40
GHCND:USC00143074,19801025,55,33
GHCND:USC00143074,19801026,66,35
GHCND:USC00143074,19801027,66,47
GHCND:USC00143074,19801028,61,34
GHCND:USC00143074,19801029,63,-9999
GHCND:USC00143074,19801030,67,27
GHCND:USC00143074,19801031,71,29
GHCND:USC00143074,19801101,71,45
GHCND:USC00143074,19801102,75,38
GHCND:USC00143074,19801103,75,40
GHCND:USC00143074,19801104,74,41
GHCND:USC00143074,19801105,74,41
GHCND:USC00143074,19801106,-9999,43
GHCND:USC00143074,19801107,-9999,45
GHCND:USC00143074,19801108,-9999,46
GHCND:USC00143074,19801109,77,45
GHCND:USC00143074,19801110,77,44
GHCND:USC00143074,19801117,38,35
GHCND:USC00143074,19801118,44,28
GHCND:USC00143074,19801119,49,24
GHCND:USC00143074,19801120,55,28
GHCND:USC00143074,19801121,56,26
GHCND:USC00143074,19801122,55,29
GHCND:USC00143074,19801123,46,30
GHCND:USC00143074,19801124,46,26
GHCND:USC00143074,19801125,44,24
GHCND:USC00143074,19801126,46,29
GHCND:USC00143074,19801127,46,30
GHCND:USC00143074,19801128,48,32
GHCND:USC00143074,19801129,61,41
GHCND:USC00143074,19801130,67,42
GHCND:USC00143074,19801201,65,55
GHCND:USC00143074,19801202,65,20
GHCND:USC00143074,19801203,51,-9999
GHCND:USC00143074,19801204,58,32
GHCND:USC00143074,19801205,69,56
GHCND:USC00143074,19801206,69,58
GHCND:USC00143074,19801207,67,60
GHCND:USC00143074,19801208,67,31
GHCND:USC00143074,19801209,44,30
GHCND:USC00143074,19801210,43,32
GHCND:USC00143074,19810101,44,25
GHCND:USC00143074,19810102,46,22
GHCND:USC00143074,19810103,46,32
GHCND:USC00143074,19810104,35,16
GHCND:USC00143074,19810105,41,-9999
GHCND:USC00143074,19810106,48,35
GHCND:USC00143074,19810107,50,22
GHCND:USC00143074,19810108,46,22
GHCND:USC00143074,19810109,45,21
GHCND:USC00143074,19810110,45,19
GHCND:USC00143074,19810111,37,14
GHCND:USC00143074,19810112,39,12
GHCND:USC00143074,19810113,46,-9999
GHCND:USC00143074,19810114,46,24
GHCND:USC00143074,19810115,46,23
GHCND:USC00143074,19810116,45,16
GHCND:USC00143074,19810117,40,-9999
GHCND:USC00143074,19810118,41,-9999
GHCND:USC00143074,19810119,41,25
GHCND:USC00143074,19810120,39,30
GHCND:USC00143074,19810121,44,32
GHCND:USC00143074,19810122,46,-9999
GHCND:USC00143074,19810123,-9999,33
GHCND:USC00143074,19810124,-9999,34
GHCND:USC00143074,19810125,60,38
GHCND:USC00143074,19810126,51,-9999
GHCND:USC00143074,19810127,47,-9999
GHCND:USC00143074,19810128,58,-9999
GHCND:USC00143074,19810129,58,33
GHCND:USC00143074,19810130,35,24
GHCND:USC00143074,19810131,40,25
GHCND:USC00143074,19810201,39,26
GHCND:USC00143074,19810202,32,11
GHCND:USC00143074,19810203,36,14
GHCND:USC00143074,19810204,36,20
GHCND:USC00143074,19810205,40,28
GHCND:USC00143074,19810206,34,14
GHCND:USC00143074,19810207,38,27
GHCND:USC00143074,19810208,38,20
GHCND:USC00143074,19810209,37,24
GHCND:USC00143074,19810210,32,10
GHCND:USC00143074,19810211,26,-10
GHCND:USC00143074,19810212,30,8
GHCND:USC00143074,19810213,40,26
GHCND:USC00143074,19810214,48,29
GHCND:USC00143074,19810215,53,35
GHCND:USC00143074,19810216,57,39
GHCND:USC00143074,19810217,66,36
GHCND:USC00143074,19810218,66,34
GHCND:USC00143074,19810219,71,39
GHCND:USC00143074,19810220,75,41
GHCND:USC00143074,19810221,75,47
GHCND:USC00143074,19810222,52,34
GHCND:USC00143074,19810223,61,33
GHCND:USC00143074,19810224,71,34
GHCND:USC00143074,19810225,74,54
GHCND:USC00143074,19810226,75,52
GHCND:USC00143074,19810227,74,58
GHCND:USC00143074,19810228,72,38
GHCND:USC00143074,19810301,55,37
GHCND:USC00143074,19810302,55,35
GHCND:USC00143074,19810303,54,34
GHCND:USC00143074,19810304,47,42
GHCND:USC00143074,19810305,46,36
GHCND:USC00143074,19810306,53,30
GHCND:USC00143074,19810307,55,31
GHCND:USC00143074,19810308,55,29
GHCND:USC00143074,19810309,56,31
GHCND:USC00143074,19810310,55,32
GHCND:USC00143074,19810311,58,31
GHCND:USC00143074,19810312,65,33
GHCND:USC00143074,19810313,65,47
GHCND:USC00143074,19810314,66,40
GHCND:USC00143074,19810315,66,37
GHCND:USC00143074,19810316,65,38
GHCND:USC00143074,19810317,62,37
GHCND:USC00143074,19810318,56,32
GHCND:USC00143074,19810319,46,30
GHCND:USC00143074,19810320,61,30
GHCND:USC00143074,19810321,54,32
GHCND:USC00143074,19810322,51,34
GHCND:USC00143074,19810323,58,33
GHCND:USC00143074,19810324,66,40
GHCND:USC00143074,19810325,66,49
GHCND:USC00143074,19810326,68,50
GHCND:USC00143074,19810327,69,49
GHCND:USC00143074,19810328,69,43
GHCND:USC00143074,19810329,70,40
GHCND:USC00143074,19810330,75,41
GHCND:USC00143074,19810331,76,62
GHCND:USC00143074,19810401,76,45
GHCND:USC00143074,19810402,80,56
GHCND:USC00143074,19810403,77,67
GHCND:USC00143074,19810404,72,38
GHCND:USC00143074,19810405,66,38
GHCND:USC00143074,19810406,71,46
GHCND:USC00143074,19810407,73,42
GHCND:USC00143074,19810408,78,44
GHCND:USC00143074,19810409,78,60
GHCND:USC00143074,19810410,76,62
GHCND:USC00143074,19810411,79,61
GHCND:USC00143074,19810412,81,63
GHCND:USC00143074,19810413,83,66
GHCND:USC00143074,19810414,83,51
GHCND:USC00143074,19810415,62,39
GHCND:USC00143074,19810416,-9999,53
GHCND:USC00143074,19810417,-9999,52
GHCND:USC00143074,19810418,-9999,50
GHCND:USC00143074,19810419,-9999,51
GHCND:USC00143074,19810420,65,50
GHCND:USC00143074,19810421,63,52
GHCND:USC00143074,19810422,68,60
GHCND:USC00143074,19810423,76,45
GHCND:USC00143074,19810424,77,49
GHCND:USC00143074,19810425,77,54
GHCND:USC00143074,19810426,77,58
GHCND:USC00143074,19810427,82,61
GHCND:USC00143074,19810428,82,60
GHCND:USC00143074,19810429,83,51
GHCND:USC00143074,19810430,83,57
GHCND:USC00143074,19810501,76,53
GHCND:USC00143074,19810502,77,45
GHCND:USC00143074,19810503,77,48
GHCND:USC00143074,19810504,76,-9999
GHCND:USC00143074,19810505,70,50
GHCND:USC00143074,19810506,72,52
GHCND:USC00143074,19810507,71,51
GHCND:USC00143074,19810508,71,53
GHCND:USC00143074,19810509,69,50
GHCND:USC00143074,19810510,62,44
GHCND:USC00143074,19810511,66,39
GHCND:USC00143074,19810512,73,42
GHCND:USC00143074,19810513,73,59
GHCND:USC00143074,19810514,71,58
GHCND:USC00143074,19810515,75,-9999
GHCND:USC00143074,19810516,75,57
GHCND:USC00143074,19810517,69,58
GHCND:USC00143074,19810518,79,60
GHCND:USC00143074,19810519,79,48
GHCND:USC00143074,19810520,73,46
GHCND:USC00143074,19810521,79,49
GHCND:USC00143074,19810522,82,60
GHCND:USC00143074,19810523,82,60
GHCND:USC00143074,19810524,76,61
GHCND:USC00143074,19810525,78,60
GHCND:USC00143074,19810526,81,62
GHCND:USC00143074,19810527,83,64
GHCND:USC00143074,19810528,85,65
GHCND:USC00143074,19810529,79,63
GHCND:USC00143074,19810530,76,62
GHCND:USC00143074,19810531,72,60
