STATION,DATE,TMAX,TMIN
GHCND:USC00185111,19980505,67,57
GHCND:USC00185111,19980506,74,53
GHCND:USC00185111,19980507,72,54
GHCND:USC00185111,19980508,67,58
GHCND:USC00185111,19980509,70,55
GHCND:USC00185111,19980510,65,56
GHCND:USC00185111,19980511,59,52
GHCND:USC00185111,19980512,55,51
GHCND:USC00185111,19980513,72,51
GHCND:USC00185111,19980514,81,46
GHCND:USC00185111,19980515,89,53
GHCND:USC00185111,19980516,93,65
GHCND:USC00185111,19980517,89,69
GHCND:USC00185111,19980518,88,62
GHCND:USC00185111,19980519,91,65
GHCND:USC00185111,19980520,89,79
GHCND:USC00185111,19980521,85,67
GHCND:USC00185111,19980522,74,53
GHCND:USC00185111,19980523,74,54
GHCND:USC00185111,19980524,75,54
GHCND:USC00185111,19980525,85,59
GHCND:USC00185111,19980526,78,65
GHCND:USC00185111,19980527,74,64
GHCND:USC00185111,19980528,85,57
GHCND:USC00185111,19980529,92,63
GHCND:USC00185111,19980530,94,67
GHCND:USC00185111,19980531,90,68
GHCND:USC00185111,19980601,82,58
GHCND:USC00185111,19980602,83,49
GHCND:USC00185111,19980603,77,56
GHCND:USC00185111,19980604,73,54
GHCND:USC00185111,19980605,73,55
GHCND:USC00185111,19980606,71,52
GHCND:USC00185111,19980607,69,50
GHCND:USC00185111,19980608,73,54
GHCND:USC00185111,19980609,76,55
GHCND:USC00185111,19980610,62,55
GHCND:USC00185111,19980611,69,53
GHCND:USC00185111,19980612,75,62
GHCND:USC00185111,19980613,82,61
GHCND:USC00185111,19980614,82,61
GHCND:USC00185111,19980615,82,63
GHCND:USC00185111,19980616,90,64
GHCND:USC00185111,19980617,85,66
GHCND:USC00185111,19980618,89,67
GHCND:USC00185111,19980619,80,68
GHCND:USC00185111,19980620,90,68
GHCND:USC00185111,19980621,92,70
GHCND:USC00185111,19980622,85,72
GHCND:USC00185111,19980623,91,69
GHCND:USC00185111,19980624,90,71
GHCND:USC00185111,19980625,95,72
GHCND:USC00185111,19980626,97,73
GHCND:USC00185111,19980627,91,76
GHCND:USC00185111,19980628,80,65
GHCND:USC00185111,19980629,87,67
GHCND:USC00185111,19980630,90,67
GHCND:USC00185111,19980701,86,64
GHCND:USC00185111,19980702,87,65
GHCND:USC00185111,19980703,90,66
GHCND:USC00185111,19980704,90,70
GHCND:USC00185111,19980705,88,66
GHCND:USC00185111,19980706,88,64
GHCND:USC00185111,19980707,85,66
GHCND:USC00185111,19980708,82,68
GHCND:USC00185111,19980709,86,62
GHCND:USC00185111,19980710,88,69
GHCND:USC00185111,19980711,82,61
GHCND:USC00185111,19980712,88,62
GHCND:USC00185111,19980713,89,66
GHCND:USC00185111,19980714,89,67
GHCND:USC00185111,19980715,88,73
GHCND:USC00185111,19980716,92,71
GHCND:USC00185111,19980717,93,71
GHCND:USC00185111,19980718,89,69
GHCND:USC00185111,19980719,91,69
GHCND:USC00185111,19980720,93,72
GHCND:USC00185111,19980721,96,72
GHCND:USC00185111,19980722,97,72
GHCND:USC00185111,19980723,93,75
GHCND:USC00185111,19980724,91,69
GHCND:USC00185111,19980725,90,69
GHCND:USC00185111,19980726,84,69
GHCND:USC00185111,19980727,87,67
GHCND:USC00185111,19980728,95,71
GHCND:USC00185111,19980729,96,72
GHCND:USC00185111,19980730,96,72
GHCND:USC00185111,19980731,84,66
GHCND:USC00185111,19980801,85,61
GHCND:USC00185111,19980802,86,55
GHCND:USC00185111,19980803,88,59
GHCND:USC00185111,19980804,90,61
GHCND:USC00185111,19980805,89,64
GHCND:USC00185111,19980806,90,62
GHCND:USC00185111,19980807,90,65
GHCND:USC00185111,19980808,88,72
GHCND:USC00185111,19980809,89,69
GHCND:USC00185111,19980810,90,69
GHCND:USC00185111,19980811,90,69
GHCND:USC00185111,19980812,88,72
GHCND:USC00185111,19980813,89,64
GHCND:USC00185111,19980814,85,70
GHCND:USC00185111,19980815,90,70
GHCND:USC00185111,19980816,86,70
GHCND:USC00185111,19980817,89,71
GHCND:USC00185111,19980818,91,69
GHCND:USC00185111,19980819,77,56
GHCND:USC00185111,19980820,84,56
GHCND:USC00185111,19980821,91,61
GHCND:USC00185111,19980822,95,71
GHCND:USC00185111,19980823,95,73
GHCND:USC00185111,19980824,96,74
GHCND:USC00185111,19980825,97,75
GHCND:USC00185111,19980826,97,74
